time_days,Nuclei:Ir195 top 14
0.00040551540303705296,332452616.67310613
0.00040558670510440606,332598705.1576257
0.00040565801970885357,332744819.17743355
0.0004057293468525995,332890958.73696536
0.000405800686537849,333037123.84065944
0.00040587203876680687,333183314.4929531
0.00040594340354167916,333329530.69828653
0.00040601478086467127,333475772.46109825
0.00040608617073799005,333622039.78582966
0.0004061575731638419,333768332.67692155
0.0004062289881444342,333914651.1388162
0.00040630041568197415,334060995.17595613
0.00040637185577867003,334207364.7927856
0.0004064433084367297,334353759.9937479
0.00040651477365836216,334500180.783289
0.00040658625144577627,334646627.16585416
0.00040665774180118167,334793817.8117612
0.00040672924472678803,334941294.7794777
0.00040680076022480576,335088797.5247486
0.00040687228829744534,335236326.05205256
0.0004069438289469176,335383880.3658682
0.00040701538217543447,335531460.4706771
0.00040708694798520707,335679066.37095875
0.0004071585263784481,335826698.071196
0.0004072301173573697,335974355.57587045
0.0004073017209241853,336122038.8894662
0.00040737333708110775,336269748.0164667
0.00040744496583035116,336417482.9613573
0.0004075166071741293,336565243.72862256
0.0004075882611146571,336713030.32275
0.0004076599276541489,336860842.7482257
0.00040773160679482065,337008681.00953853
0.00040780329853888744,337156545.1111764
0.0004078750028885658,337304435.0576291
0.00040794671984607165,337452350.8533864
0.0004080184494136224,337600292.50293994
0.0004080901915934348,337748260.0107806
0.000408161946387727,337896253.3814019
0.0004082337137987164,338044272.619296
0.00040830549382862196,338192317.72895783
0.00040837728647966196,338340388.71488154
0.00040844909175405614,338488485.58156353
0.00040852090965402376,338636608.3334996
0.00040859274018178456,338784756.9751865
0.00040866458333955937,338932931.51112306
0.0004087364391295685,339081131.9458069
0.00040880830755403354,339229358.2837387
0.00040888018861517554,339377610.5294176
0.00040895208231521673,339525888.68734497
0.00040902398865637926,339674192.7620227
0.00040909590764088606,339822522.75795335
0.0004091678392709598,339970878.67963964
0.0004092397835488245,340119260.5315868
0.00040931174047670354,340267668.3182984
0.00040938371005682153,340416102.04428107
0.0004094556922914028,340564869.7209636
0.0004095276871826727,340714331.7977817
0.00040959969473285644,340863819.998061
0.0004096717149441801,341013334.32634026
0.00040974374781886956,341162874.7871582
0.00040981579335915176,341312441.38505507
0.0004098878515672534,341462034.12457114
0.0004099599224454022,341611653.01024866
0.0004100320059958256,341761298.0466292
0.00041010410222075205,341910969.2382562
0.00041017621112241,342060666.58967334
0.0004102483327030283,342210390.1054249
0.0004103204669648366,342360139.790057
0.0004103926139100642,342509915.64811486
0.0004104647735409418,342659717.68414634
0.0004105369458596993,342809545.9026984
0.0004106091308685682,342959400.30832034
0.00041068132856977933,343109280.90556055
0.00041075353896556486,343259187.6989698
0.00041082576205815635,343409120.69309837
0.00041089799784978687,343559079.8924986
0.0004109702463426888,343709065.3017222
0.00041104250753909574,343859076.9253229
0.0004111147814412411,344009114.7678538
0.0004111870680513593,344159178.8338709
0.00041125936737168437,344309269.1279288
0.0004113316794044515,344459385.65458417
0.0004114040041518956,344609528.41839385
0.00041147634161625273,344759697.4239162
0.0004115486917997585,344909892.67570925
0.0004116210547046496,345060114.17833304
0.00041169343033316274,345210361.9363474
0.00041176581868753495,345360635.9543132
0.00041183821977000426,345510936.2367929
0.00041191063358280816,345661262.78834826
0.00041198306012818546,345811615.6135433
0.00041205549940837456,345961994.7169415
0.000412127951425615,346112400.1031086
0.000412200416182146,346262831.7766094
0.0004122728936802078,346413430.5780327
0.00041234538392204053,346564888.354975
0.0004124178869098852,346716372.60310125
0.0004124904026459826,346867883.3270089
0.0004125629311325747,347019420.53129846
0.0004126354723719029,347170984.2205686
0.0004127080263662101,347322574.3994214
0.0004127805931177385,347474191.072457
0.0004128531726287316,347625834.2442788
