time_days,Nuclei:Lu177 top 13
2.8497627984072694e-05,0.0007713212731787827
2.850263874266462e-05,0.000773578514346102
2.8507650382301864e-05,0.0007758361524032981
2.8512662903139337e-05,0.000778094187420157
2.8517676305331987e-05,0.0007803526194664758
2.8522690589034775e-05,0.0007826114486120632
2.852770575440271e-05,0.0007848706749267422
2.8532721801590798e-05,0.0007871302984803419
2.8537738730754108e-05,0.000789390319342713
2.854275654204771e-05,0.0007916507375837134
2.8547775235626707e-05,0.0007939115532732114
2.8552794811646237e-05,0.0007961727664810903
2.8557815270261455e-05,0.0007984343772772446
2.8562836611627552e-05,0.0008006963857315821
2.856785883589975e-05,0.0008029587919140258
2.8572881943233274e-05,0.0008052215958945021
2.857790593378341e-05,0.0008074847977429587
2.858293080770544e-05,0.0008097483975293503
2.8587956565154698e-05,0.0008120970548035677
2.8592983206286535e-05,0.0008144663488692532
2.859801073125633e-05,0.0008168360595270289
2.8603039140219478e-05,0.000819206186850141
2.860806843333142e-05,0.0008215767309118527
2.861309861074762e-05,0.0008239476917854396
2.8618129672623563e-05,0.0008263190695441884
2.8623161619114766e-05,0.0008286908642614017
2.8628194450376764e-05,0.000831063076010388
2.8633228166565135e-05,0.000833435704864476
2.863826276783547e-05,0.0008358087508970049
2.86432982543434e-05,0.0008381822141813262
2.8648334626244575e-05,0.0008405560947908055
2.8653371883694668e-05,0.0008429303927988171
2.86584100268494e-05,0.0008453051082787578
2.866344905586449e-05,0.0008476802413040258
2.8668488970895702e-05,0.0008500557919480373
2.8673529772098834e-05,0.0008524317602842249
2.8678571459629694e-05,0.0008548081463860286
2.868361403364413e-05,0.0008572291643572152
2.868865749429801e-05,0.0008597153714141727
2.8693701841747237e-05,0.0008622020156199807
2.869874707614773e-05,0.0008646890970514995
2.8703793197655442e-05,0.0008671766157856042
2.870884020642637e-05,0.0008696645718991908
2.87138881026165e-05,0.0008721529654691567
2.871893688638188e-05,0.0008746417965724235
2.872398655787857e-05,0.0008771310652859192
2.8729037117262662e-05,0.0008796207716865906
2.873408856469027e-05,0.0008821109158513933
2.8739140900317544e-05,0.0008846014978572994
2.8744194124300647e-05,0.0008870925177812932
2.8749248236795796e-05,0.0008895839757003764
2.875430323795921e-05,0.000892075871691559
2.875935912794714e-05,0.0008945682058318654
2.8764415906915872e-05,0.0008970609781983359
2.8769473575021726e-05,0.0008995541888680253
2.877453213242102e-05,0.0009020478379179944
2.8779591579270136e-05,0.0009045481329139111
2.878465191572545e-05,0.0009071558444970702
2.8789713141943405e-05,0.0009097640145931667
2.8794775258080428e-05,0.0009123726432828132
2.8799838264293e-05,0.0009149817306466457
2.8804902160737632e-05,0.0009175912767653159
2.8809966947570846e-05,0.0009202012817194817
2.8815032624949194e-05,0.0009228117455898189
2.8820099193029277e-05,0.0009254226684570218
2.88251666519677e-05,0.0009280340504017958
2.88302350019211e-05,0.0009306458915048537
2.8835304243046146e-05,0.0009332581918469329
2.884037437549954e-05,0.0009358709515087828
2.8845445399437993e-05,0.0009384841705711589
2.8850517315018262e-05,0.0009410978491148407
2.885559012239713e-05,0.0009437119872206183
2.886066382173139e-05,0.0009463265849692944
2.886573841317789e-05,0.0009489416424416877
2.8870813896893478e-05,0.0009515571597186307
2.887589027303505e-05,0.0009541731368809722
2.8880967541759525e-05,0.0009568782282467634
2.888604570322384e-05,0.0009596126469450284
2.8891124757584968e-05,0.000962347546435082
2.88962047049999e-05,0.0009650829268014556
2.890128554562567e-05,0.0009678187881287057
2.890636727961934e-05,0.0009705551305013991
2.8911449907137975e-05,0.0009732919540041122
2.8916533428338697e-05,0.000976029258721448
2.892161784337863e-05,0.000978767044738013
2.8926703152414953e-05,0.0009815053121384355
2.8931789355604848e-05,0.0009842440610073546
2.893687645310555e-05,0.000986983291429432
2.894196444507428e-05,0.0009897230034893298
2.894705333166833e-05,0.0009924631972717396
2.8952143113045e-05,0.0009952038728613586
2.895723378936162e-05,0.000997945030342904
2.8962325360775548e-05,0.001000686669801107
2.896741782744417e-05,0.0010034287913207108
2.8972511189524897e-05,0.0010061713949864753
2.8977605447175177e-05,0.0010089760108658206
2.8982700600552468e-05,0.0010118415333315277
2.8987796649814274e-05,0.0010147075596409366
2.899289359511812e-05,0.0010175740898826387
2.8997991436621555e-05,0.001020441124145236
2.9003090174482153e-05,0.001023308662517349
2.9008189808857526e-05,0.0010261767050876174
2.9013290339905307e-05,0.0010290452519446912
2.9018391767783164e-05,0.0010319143031772401
2.9023494092648787e-05,0.0010347838588739505
2.9028597314659886e-05,0.001037653919123515
2.9033701433974212e-05,0.001040524484014654
2.903880645074954e-05,0.0010433955536360952
2.9043912365143667e-05,0.0010462671280765845
2.9049019177314433e-05,0.001049139207424888
2.9054126887419676e-05,0.0010520117917697744
2.905923549561729e-05,0.0010548848812000412
2.906434500206519e-05,0.0010577584758044982
2.9069455406921316e-05,0.001060632575671969
2.907456671034363e-05,0.0010635457809741009
2.9079678912490134e-05,0.001066547396908134
2.9084792013518847e-05,0.001069549540615117
2.908990601358782e-05,0.0010725522121878485
2.9095020912855135e-05,0.0010755554117191444
2.9100136711478898e-05,0.0010785591393018311
2.910525340961724e-05,0.0010815633950287578
2.911037100742833e-05,0.0010845681789927863
2.9115489505070347e-05,0.0010875734912867932
2.912060890270152e-05,0.00109057933200368
2.9125729200480092e-05,0.0010935857012363535
2.913085039856433e-05,0.0010965925990777422
2.913597249711254e-05,0.001099600025620792
2.9141095496283056e-05,0.001102607980958464
2.914621939623423e-05,0.0011056164651837375
2.9151344197124445e-05,0.0011086254783895992
2.9156469899112124e-05,0.0011116350206690666
2.9161596502355696e-05,0.0011146450921151617
2.9166724007013635e-05,0.0011176556928209273
2.917185241324443e-05,0.001120687300646067
2.9176981721206613e-05,0.0011238301363651418
2.9182111931058737e-05,0.001126973524687778
