time_days,Nuclei:I132 top 2
0.00035051657690902396,95875.67237274892
0.00035057820849289975,95916.96670553046
0.00035063985091350147,95958.26829910271
0.00035070150417273484,95999.57715474251
0.0003507631682725054,96040.89327372654
0.0003508248432147194,96082.2166573321
0.0003508865290012833,96123.54730683648
0.00035094822563410354,96164.88522351705
0.00035100993311508764,96206.23040865187
0.00035107165144614274,96247.58286351874
0.00035113338062917694,96288.94258939607
0.00035119512066609794,96330.30958756212
0.0003512568715588145,96371.6838592958
0.0003513186333092352,96413.06540587578
0.0003513804059192695,96454.45422858144
0.0003514421893908263,96495.85032869186
0.00035150398372581595,96537.25370748693
0.0003515657889261482,96578.66436624617
0.0003516276049937337,96620.08230624987
0.0003516894319304831,96661.50752877812
0.0003517512697383078,96702.94003511147
0.00035181311841911883,96744.37982653057
0.00035187497797482847,96785.82690431648
0.0003519368484073485,96827.28126975018
0.00035199872971859166,96868.7429241132
0.0003520606219104705,96910.21186868708
0.00035212252498489856,96951.68810475376
0.000352184438943789,96993.17163359516
0.00035224636378905554,97034.6624564936
0.00035230829952261273,97076.1605747317
0.0003523702461463747,97117.66598959196
0.00035243220366225656,97159.17870235765
0.0003524941720721733,97200.69871431164
0.00035255615137804055,97242.22602673767
0.000352618141581774,97283.76064091909
0.00035268014268529003,97325.30255814001
0.0003527421546905049,97366.85177968425
0.0003528041775993358,97408.40830683647
0.00035286621141369955,97449.97214088085
0.000352928256135514,97491.54328310245
0.00035299031176669673,97533.31027490123
0.00035305237830916624,97575.34512900427
0.00035311445576484077,97617.38737410384
0.0003531765441356395,97659.43701149969
0.00035323864342348135,97701.49404249147
0.00035330075363028613,97743.55846837933
0.0003533628747579735,97785.6302904633
0.0003534250068084639,97827.7095100441
0.0003534871497836777,97869.7961284222
0.00035354930368553596,97911.89014689872
0.00035361146851595985,97953.99156677474
0.0003536736442768708,97996.1003893515
0.00035373583097019114,98038.21661593091
0.00035379802859784263,98080.34024781454
0.0003538602371617482,98122.47128630464
0.0003539224566638306,98164.6097327034
0.00035398468710601326,98206.75558831348
0.00035404692849021956,98248.90885443742
0.0003541091808183737,98291.06953237846
0.0003541714440923997,98333.23762343959
0.0003542337183142225,98375.41312892453
0.0003542960034857667,98417.59605013666
0.00035435829960895796,98459.7863883801
0.00035442060668572156,98501.98414495881
0.0003544829247179838,98544.18932117739
0.00035454525370767065,98586.40191834013
0.00035460759365670913,98628.62193775213
0.0003546699445670259,98670.8493807182
